gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin
4729406514,1,15,1,1,8,3,12,1,1,0,0,17102,6.8,17862,182,37,525,161,21.9,1710.2,13,1,0,3,8,2,0,0,0,0,16577,7.0,17701,224,64,-525,-161,28.8,1657.7
4716091902,1,43,2,1,4,1,5,0,0,0,0,15689,6.8,17502,194,47,-536,-862,24.1,1568.9,15,2,0,1,4,1,1,1,0,0,16225,6.8,18364,222,72,536,862,29.4,1622.5
4716039732,0,10,3,1,7,8,6,1,1,0,0,17481,6.0,14118,140,48,-489,-2043,18.8,1748.1,15,0,0,8,7,8,0,0,0,0,17970,6.8,16161,160,60,489,2043,22.0,1797.0
4716006724,1,10,0,0,9,4,5,0,0,0,0,17903,7.0,18245,203,56,3788,1933,25.9,1790.3,9,0,1,3,8,1,0,0,0,0,14115,6.4,16312,163,68,-3788,-1933,23.1,1411.5
4715963837,0,13,1,1,10,9,14,1,1,0,0,22098,7.2,19009,219,60,3534,2869,27.9,2209.8,16,1,0,9,10,9,0,0,0,0,18564,6.6,16140,170,51,-3534,-2869,22.1,1856.4
4696142194,0,16,1,1,8,8,9,0,0,0,0,19542,7.2,18593,212,63,2928,1652,27.5,1954.2,9,1,0,8,8,11,0,0,0,0,16614,6.6,16941,183,36,-2928,-1652,21.9,1661.4
4696132286,1,10,1,1,6,3,4,0,0,0,0,16606,6.6,16987,196,44,2211,1282,24.0,1660.6,13,0,0,3,6,2,0,0,0,0,14395,6.4,15705,163,60,-2211,-1282,22.3,1439.5
4696119254,1,13,0,1,7,4,7,1,1,0,0,15939,6.6,16652,174,52,-858,-1165,22.6,1593.9,18,1,0,4,7,3,0,0,0,0,16797,6.8,17817,211,52,858,1165,26.3,1679.7
4853603004,0,8,0,0,5,5,2,0,0,0,0,16394,6.8,18223,190,64,-1035,649,25.4,1639.4,13,0,1,5,5,7,1,1,0,0,17429,6.8,17574,215,44,1035,-649,25.9,1742.9
4853573893,0,12,3,1,5,6,3,1,0,1,0,17014,6.6,16969,221,48,-600,-212,26.9,1701.4,11,2,0,6,5,6,0,0,0,0,17614,6.8,17181,199,56,600,212,25.5,1761.4
4840269614,1,12,0,0,9,4,5,0,0,0,0,17439,7.2,19145,196,43,2507,2303,23.9,1743.9,16,0,1,4,9,0,0,0,0,0,14932,6.8,16842,181,60,-2507,-2303,24.1,1493.2
4838728301,1,15,1,1,7,6,5,1,0,1,0,17969,7.2,19002,204,56,1366,1659,26.0,1796.9,10,1,0,6,7,10,1,1,0,0,16603,6.8,17343,198,62,-1366,-1659,26.0,1660.3
4837158441,0,12,0,1,5,10,5,0,0,0,0,16152,6.2,16047,192,36,-2638,-1591,22.8,1615.2,10,1,0,10,5,6,0,0,0,0,18790,7.0,17638,227,51,2638,1591,27.8,1879.0
4837115192,1,11,1,1,9,5,10,2,1,1,0,18489,6.8,17477,187,60,2725,1027,24.7,1848.9,9,0,0,5,9,4,0,0,0,0,15764,6.4,16450,208,43,-2725,-1027,25.1,1576.4
4833302209,0,12,2,1,5,7,0,0,0,0,0,15518,6.8,17528,209,64,-2130,-9,27.3,1551.8,12,1,0,7,5,7,0,0,0,0,17648,7.0,17537,181,56,2130,9,23.7,1764.8
4746964264,1,11,1,1,6,1,5,0,0,0,0,16916,6.8,17901,230,40,2402,1311,27.0,1691.6,36,3,0,1,6,2,1,1,0,0,14514,6.6,16590,183,64,-2402,-1311,24.7,1451.4
4746171025,1,11,2,1,5,5,5,1,0,1,0,16573,7.2,18723,215,51,1625,1342,26.6,1657.3,8,1,0,4,4,2,0,0,0,0,14948,6.8,17381,207,53,-1625,-1342,26.0,1494.8
4746154990,1,23,1,1,9,3,7,1,1,0,0,18411,7.0,19314,202,64,2879,1333,26.6,1841.1,10,0,0,3,9,1,0,0,0,0,15532,7.0,17981,230,64,-2879,-1333,29.4,1553.2
4746122680,1,14,0,0,4,2,3,0,0,0,0,16237,7.6,20369,239,60,-87,2084,29.9,1623.7,19,3,1,2,4,2,1,1,0,0,16324,7.0,18285,247,64,87,-2084,31.1,1632.4
4725816249,1,11,2,0,4,3,5,0,0,0,0,15727,7.2,17910,202,60,100,-173,26.2,1572.7,20,4,1,3,4,1,0,0,0,0,15627,6.8,18083,192,47,-100,173,23.9,1562.7
4724011523,0,11,2,1,4,5,6,0,0,0,0,16175,6.8,17251,195,56,-874,-1261,25.1,1617.5,10,1,0,5,4,6,1,0,1,0,17049,7.2,18512,204,64,874,1261,26.8,1704.9
4723997055,0,17,0,0,5,3,6,0,0,0,0,14986,6.2,15256,149,40,-866,-2616,18.9,1498.6,10,3,1,3,5,6,2,1,1,0,15852,7.0,17872,197,68,866,2616,26.5,1585.2
4714925973,0,10,2,0,5,6,6,0,0,0,0,16552,6.6,16389,203,50,-893,-1935,25.3,1655.2,12,2,1,6,5,7,0,0,0,0,17445,7.2,18324,205,60,893,1935,26.5,1744.5
4706192161,0,14,8,0,6,5,2,0,0,0,0,17159,7.0,18913,220,56,49,833,27.6,1715.9,34,3,1,5,6,4,0,0,0,0,17110,7.0,18080,215,60,-49,-833,27.5,1711.0
4705849952,1,31,0,1,6,6,8,1,1,0,0,16358,6.6,16904,197,68,-290,-974,26.5,1635.8,11,12,0,6,6,5,0,0,0,0,16648,6.6,17878,229,48,290,974,27.7,1664.8
4703347952,1,15,2,0,10,17,28,0,0,0,1,32817,9.8,33994,97,0,-990,-2608,9.7,3281.7,23,0,1,17,10,47,0,0,0,0,33807,10.6,36602,100,0,990,2608,10.0,3380.7
4703325464,1,20,1,0,32,28,66,0,0,0,1,40745,12.0,46141,87,0,2369,1252,8.7,4074.5,14,3,1,28,32,67,0,0,0,0,38376,11.8,44889,83,0,-2369,-1252,8.3,3837.6
4856368609,1,0,0,1,23,18,56,0,0,0,0,36591,11.2,40587,100,0,1553,1990,10.0,3659.1,15,0,0,18,23,37,0,0,0,0,35038,10.8,38597,103,0,-1553,-1990,10.3,3503.8
4856336978,1,9,0,0,23,25,65,0,0,0,1,39358,11.6,42875,112,0,2547,2267,11.2,3935.8,0,0,1,25,23,44,0,0,0,0,36811,11.0,40608,92,0,-2547,-2267,9.2,3681.1
4845139792,0,139,1,0,4,11,2,0,0,0,0,14740,6.2,15210,175,48,-3611,-3300,22.3,1474.0,10,2,1,11,4,8,1,1,0,0,18351,7.2,18510,194,64,3611,3300,25.8,1835.1
4844009664,1,12,1,0,1,10,2,1,1,0,0,13293,6.6,15631,179,52,-4325,-1614,23.1,1329.3,13,0,1,10,1,9,0,0,0,0,17618,6.6,17245,206,52,4325,1614,25.8,1761.8
4838072547,0,15,4,0,5,3,4,0,0,0,0,15431,6.6,16461,185,48,-1093,-755,23.3,1543.1,21,3,1,3,5,1,1,1,0,0,16524,6.8,17216,211,48,1093,755,25.9,1652.4
